Gen	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	t_n16	t_n17	mu	sigma2	lnL
50750000	166.8670020	92.3285930	83.3558692	81.0232187	62.4537198	25.7671215	12.5646382	6.9780026	0.0032136	0.0059641	-4.340
50755000	161.4012873	94.6008835	84.7498230	82.3138141	65.0554305	28.2925462	15.6658367	8.3609192	0.0067374	0.0151525	-4.421
50760000	165.4098224	101.4909910	94.3915005	92.4862444	65.7684569	29.0138211	12.2744623	7.2587007	0.0043672	0.0164302	-12.367
50765000	163.9153086	100.5010957	89.8504449	86.3566564	61.7141151	29.4280659	12.0176311	7.0961002	0.0041255	0.0080634	-5.402
50770000	160.4024710	95.0751616	82.9367406	80.3569270	65.3684768	25.9677963	11.8065690	6.5267505	0.0033742	0.0068811	-8.622
50775000	149.7844783	94.8057224	76.8959933	72.4291704	58.5067909	24.9313285	11.4424276	6.1282968	0.0081695	0.0196279	-7.736
50780000	153.2520085	93.9170629	82.9489265	80.4192450	63.7671935	21.6330850	9.2185279	4.5985383	0.0042967	0.0060999	-6.439
50785000	162.3802651	98.2053059	87.0782908	84.6686039	63.4497656	23.7677512	8.4518980	4.5150050	0.0051358	0.0037614	-9.372
50790000	163.6795675	98.5570382	84.7786368	82.3270508	63.6476530	21.2372885	9.2504252	4.8359259	0.0035564	0.0041096	-6.902
50795000	157.5717143	92.1820439	83.5602962	81.0321716	59.7796747	23.9678246	8.8986761	3.9841281	0.0074042	0.0078825	-5.186
50800000	155.7775285	90.5536946	80.3225665	78.2964312	63.5104782	26.0856851	9.8853420	4.9993283	0.0056768	0.0202785	-6.520
50805000	159.2055637	95.6533856	87.9372825	86.0464610	62.2791087	21.5166480	8.9097979	4.2075404	0.0058867	0.0096088	-13.139
50810000	157.0136881	98.6331132	84.2859632	81.8624869	58.2164329	21.5708726	9.0189694	4.3830449	0.0056881	0.0061813	-2.537
50815000	161.1176398	93.5636277	82.6314191	79.6019487	63.5954780	21.3791044	6.9357815	3.5112395	0.0055280	0.0089426	-6.075
50820000	151.4950605	96.3127757	85.6813047	83.3872881	62.0379499	22.7685202	6.8240394	3.5458621	0.0092154	0.0236033	-7.585
50825000	160.4927942	101.7236449	94.0618343	91.9013039	62.3374571	21.3070815	8.7512675	4.5337691	0.0059287	0.0064687	-7.856
